List,Total_Views,Total_Downloads,Year,Yearly_Views,Yearly_Downloads,sort_key
S94,113,243,2023,73.0,171.0,94
S95,725,785,2025,209.0,259.0,95
S95,516,526,2024,366.0,147.0,95
S95,150,379,2023,124.0,324.0,95
S95,26,55,2022,26.0,55.0,95
S96,116,219,2023,79.0,177.0,96
S96,478,349,2024,362.0,130.0,96
S96,707,573,2025,229.0,224.0,96
S96,37,42,2022,37.0,42.0,96
S97,13,11,2022,13.0,11.0,97
S97,86,174,2023,73.0,163.0,97
S97,223,305,2024,137.0,131.0,97
S97,321,485,2025,98.0,180.0,97
S98,13,12,2022,13.0,12.0,98
S98,118,224,2023,105.0,212.0,98
S98,390,362,2024,272.0,138.0,98
S98,643,647,2025,253.0,285.0,98
S99,31,83,2023,31.0,83.0,99
S99,393,605,2025,184.0,358.0,99
S99,209,247,2024,178.0,164.0,99
S100,1024,317,2023,1024.0,317.0,100
S100,1578,558,2024,554.0,241.0,100
S100,2141,1236,2025,563.0,678.0,100
S101,58,201,2024,43.0,142.0,101
S101,143,384,2025,85.0,183.0,101
S101,15,59,2023,15.0,59.0,101
S102,303,345,2024,266.0,296.0,102
S102,652,867,2025,349.0,522.0,102
S102,37,49,2023,37.0,49.0,102
S103,1042,915,2025,459.0,565.0,103
S103,39,93,2023,39.0,93.0,103
S103,583,350,2024,544.0,257.0,103
S104,108,217,2024,108.0,217.0,104
S104,255,487,2025,147.0,270.0,104
S105,245,363,2025,97.0,191.0,105
S105,148,172,2024,148.0,172.0,105
S106,132,122,2024,132.0,122.0,106
S106,250,298,2025,118.0,176.0,106
S107,62,159,2024,62.0,159.0,107
S107,126,353,2025,64.0,194.0,107
S108,99,142,2024,99.0,142.0,108
S108,275,462,2025,176.0,320.0,108
S109,2339,2469,2025,2278.0,2403.0,109
S109,61,66,2024,61.0,66.0,109
S110,116,105,2024,116.0,105.0,110
S110,207,289,2025,91.0,184.0,110
S111,135,152,2024,135.0,152.0,111
S111,338,415,2025,203.0,263.0,111
S112,156,130,2024,156.0,130.0,112
S112,966,1132,2025,810.0,1002.0,112
S113,157,100,2024,157.0,100.0,113
S113,370,383,2025,213.0,283.0,113
S114,124,68,2024,124.0,68.0,114
S114,220,273,2025,96.0,205.0,114
S115,165,219,2025,87.0,172.0,115
S115,78,47,2024,78.0,47.0,115
S116,66,70,2024,66.0,70.0,116
S116,267,430,2025,201.0,360.0,116
S117,148,238,2025,148.0,238.0,117
S118,161,238,2025,161.0,238.0,118
S119,125,193,2025,125.0,193.0,119
S120,445,603,2025,445.0,603.0,120
S121,65,175,2025,65.0,175.0,121
S122,50,139,2025,50.0,139.0,122
S123,46,101,2025,46.0,101.0,123
